Track URI;Track Name;Artist Name(s);Album URI;Album Name;Album Artist URI(s);Album Artist Name(s);Album Release Date;Album Image URL;Track Duration (ms);Track Preview URL;Artist Genres
spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg;Don't Start Now;Dua Lipa;spotify:album:0ix3XtPV1LwmZADsprKxcp;Don't Start Now;spotify:artist:6M2wZ9GZgrQXHCFfjv46we;Dua Lipa;2019-10-31;https://i.scdn.co/image/ab67616d0000b2738583df1a14bea9175f9ac520;183290;https://p.scdn.co/mp3-preview/e99d9e2e3c847f30660855e1c484341557dcfac6?cid=9950ac751e34487dbbe027c4fd7f8e99;dance pop,pop,uk pop
spotify:track:4Yo1ZTT9D7gUqyzgpVKkhQ;I Don't Belong In This Club;Why Don't We, Macklemore;spotify:album:3pEIf94XjPRgUDyIKOmIBE;I Don't Belong In This Club;spotify:artist:2jnIB6XdLvnJUeNTy5A0J2, spotify:artist:3JhNCzhSMTxs9WLGJJxWOY;Why Don't We, Macklemore;2019-03-20;https://i.scdn.co/image/ab67616d0000b2733f024e018b18796003532288;222620;https://p.scdn.co/mp3-preview/8bbab42a4217dbd1a38026029d6bb71ad654a677?cid=9950ac751e34487dbbe027c4fd7f8e99;boy band,dance pop,electropop,pop,post-teen pop,teen pop,pop rap,seattle hip hop
spotify:track:6RRNNciQGZEXnqk8SQ9yv5;You Need To Calm Down;Taylor Swift;spotify:album:1NAmidJlEaVgA3MpcPFYGq;Lover;spotify:artist:06HL4z0CvFAxyc27GXpf02;Taylor Swift;2019-08-23;https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647;171360;;pop
spotify:track:4MflGTO2ZTcSQ12bWcyRgI;Honey, I'm Good.;Andy Grammer;spotify:album:0XUNG1cssmwHh22loRqKdJ;Magazines Or Novels;spotify:artist:2oX42qP5ineK3hrhBECLmj;Andy Grammer;2014-08-05;https://i.scdn.co/image/ab67616d0000b27308387bff707fcd5318f0adb0;199263;https://p.scdn.co/mp3-preview/7ac809611d1ffa0d6daea4b79f54283b788088f0?cid=9950ac751e34487dbbe027c4fd7f8e99;dance pop,modern rock,neo mellow,pop,pop rap,pop rock,post-teen pop
spotify:track:0uUNN1nSoUx1A4fkDCWDQ7;So Am I;Ava Max;spotify:album:2XvFk3xrG7dV6GhqcJSQHX;So Am I;spotify:artist:4npEfmQ6YuiwW1GpUmaq3F;Ava Max;2019-03-07;https://i.scdn.co/image/ab67616d0000b273b8dcf98474721fe404ad780d;183026;;dance pop,pop
spotify:track:26wLOs3ZuHJa2Ihhx6QIE6;Teeth;5 Seconds of Summer;spotify:album:1zbH0DnpYxaoqTojXNLQb6;13 Reasons Why (Season 3);spotify:artist:5Rl15oVamLq7FbSb0NNBNy, spotify:artist:6Ad91Jof8Niiw0lGLLi3NW, spotify:artist:6sFHvCyqklnJpXC9Nh1aag;5 Seconds of Summer, YUNGBLUD, Alexander 23;2019-08-23;https://i.scdn.co/image/ab67616d0000b27369097de66c421c70ca086d42;204887;;boy band,dance pop,pop,post-teen pop
spotify:track:0sf12qNH5qcw8qpgymFOqD;Blinding Lights;The Weeknd;spotify:album:2ZfHkwHuoAZrlz7RMj0PDz;Blinding Lights;spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ;The Weeknd;2019-11-29;https://i.scdn.co/image/ab67616d0000b273c464fabb4e51b72d657f779a;201573;;canadian contemporary r&b,canadian pop,pop
spotify:track:25sgk305KZfyuqVBQIahim;Sweet but Psycho;Ava Max;spotify:album:7CdLU3GgPy1PH5FVsrPlyA;Sweet but Psycho;spotify:artist:4npEfmQ6YuiwW1GpUmaq3F;Ava Max;2018-08-17;https://i.scdn.co/image/ab67616d0000b273c5015d2a9270865a5979f56b;187436;;dance pop,pop
spotify:track:2CEgGE6aESpnmtfiZwYlbV;Dynamite;Taio Cruz;spotify:album:0eGvq1J5Ke7VlLLOYIlY4k;The Rokstarr Hits Collection;spotify:artist:6MF9fzBmfXghAz953czmBC;Taio Cruz;2010-01-01;https://i.scdn.co/image/ab67616d0000b27366c3eb32692a0ae487079cf1;202613;;dance pop,pop,pop rap
spotify:track:22vgEDb5hykfaTwLuskFGD;Sucker;Jonas Brothers;spotify:album:1Uf67JAtkVWfdydzFFqNF2;Happiness Begins;spotify:artist:7gOdHgIoIKoe4i9Tta6qdD;Jonas Brothers;2019-06-07;https://i.scdn.co/image/ab67616d0000b273de1a3a5eaa0c75bb18e7b597;181026;;boy band,dance pop,pop,post-teen pop
spotify:track:421leiR6jKlH5KDdwLYrOs;Dance Monkey;Tones And I;spotify:album:5i6CS5XcLZGLgaNCKlJvc2;Dance Monkey;spotify:artist:2NjfBq1NflQcKSeiDooVjY;Tones And I;2019-05-10;https://i.scdn.co/image/ab67616d0000b273a0486913512ed5f9f62b5d56;209754;;australian pop,pop
spotify:track:7wRd9zQRTRZtWfZs4HWRgS;Lone Digger;Caravan Palace;spotify:album:63crp9nVlHz26btR3xxcJ3;<I°_°I>;spotify:artist:37J1PlAkhRK7yrZUtqaUpQ;Caravan Palace;2015-10-16;https://i.scdn.co/image/ab67616d0000b27359ea8de720d72ab29809a9b0;229804;;electro swing,nu jazz
spotify:track:7izCAzbRkPOHK8D75ByvMb;A Girls Work Is Never Done;The Chordettes;spotify:album:2BDcDAkXFa2RRUylju3zxL;Lollipop;spotify:artist:62GnBjssWSXBlKvQohT2Bk;The Chordettes;2016-01-22;https://i.scdn.co/image/ab67616d0000b27355227a92223c6e93f028a27d;137534;https://p.scdn.co/mp3-preview/c5400d5f97e868f72e4d6d7d881ae934103d436b?cid=9950ac751e34487dbbe027c4fd7f8e99;adult standards,brill building pop,classic girl group,doo-wop,rock-and-roll,vocal harmony group
spotify:track:1FHNctV68GUNLgXclG2DtR;Dancing in the Moonlight;Toploader;spotify:album:3Yxy4ITyguWRkdXwrB9uC9;Dancing In The Moonlight: The Best Of Toploader;spotify:artist:6xeFne1rkxMhKSW3ipvkdV;Toploader;2009-04-22;https://i.scdn.co/image/ab67616d0000b273a3ebdfcbd1a5336b2920b699;233373;https://p.scdn.co/mp3-preview/2905b70d0e20421d0b3a8bd0fe640b9af4b5d978?cid=9950ac751e34487dbbe027c4fd7f8e99;british alternative rock
spotify:track:3E7dfMvvCLUddWissuqMwr;Party In The U.S.A.;Miley Cyrus;spotify:album:0IuHVgAvbNDJnJepuSZ8Oz;The Time Of Our Lives (International Version);spotify:artist:5YGY8feqx7naU7z4HrwZM6;Miley Cyrus;2009-01-01;https://i.scdn.co/image/ab67616d0000b2734ea6653890e297d53e93e3e0;202066;;dance pop,pop,post-teen pop
spotify:track:5Rl46WM2MJ8OJe9IXBKLuM;All I Need;Michael Schulte;spotify:album:3muljzkKxfsdIto5bi1DGh;All I Need;spotify:artist:21aa4pj9BvbFB2iT8kRpnq;Michael Schulte;2019-08-16;https://i.scdn.co/image/ab67616d0000b273036c68537388b0310b99d107;192787;https://p.scdn.co/mp3-preview/3ae8c261a6b930237b97a24e612fccc80f701ad6?cid=9950ac751e34487dbbe027c4fd7f8e99;german pop,pop,tvog
spotify:track:4ofwffwvvnbSkrMSCKQDaC;Shotgun;George Ezra;spotify:album:2NaulYO6lGXTyIzWTJvRJj;Staying at Tamara's;spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j;George Ezra;2018-03-23;https://i.scdn.co/image/ab67616d0000b273103045cd1c29dd16a469f808;201287;https://p.scdn.co/mp3-preview/bff4cb37276613d43a01f4cfa219d9d9a0fefe40?cid=9950ac751e34487dbbe027c4fd7f8e99;folk-pop,modern rock,neo-singer-songwriter,pop,pop rock
spotify:track:4y3OI86AEP6PQoDE6olYhO;Sucker;Jonas Brothers;spotify:album:4W0r9HOcuCC6Vh7aze2hwi;Sucker;spotify:artist:7gOdHgIoIKoe4i9Tta6qdD;Jonas Brothers;2019-03-01;https://i.scdn.co/image/ab67616d0000b273c85bf1709e11b6a288925b26;181040;;boy band,dance pop,pop,post-teen pop
spotify:track:1wIDxpXCRnHmQJOvSsVIP1;I Love Me;Meghan Trainor, LunchMoney Lewis;spotify:album:08eweM0IZoZPCCxODbrMoL;Thank You (Deluxe Version);spotify:artist:6JL8zeS1NmiOftqZTRgdTz;Meghan Trainor;2017-05-12;https://i.scdn.co/image/ab67616d0000b27362edffdb4d8b52cf89f39db6;167760;https://p.scdn.co/mp3-preview/2300cbdbd18d384b69d87b77d7009905ac167aab?cid=9950ac751e34487dbbe027c4fd7f8e99;dance pop,hip pop,pop,post-teen pop,miami hip hop
spotify:track:7rlCeTnjn0plPZkVAcctPZ;Bills;LunchMoney Lewis;spotify:album:6ItEjseW8RWuVTDLd1vcnp;Bills;spotify:artist:2iUbk5KhZYZt4CRvWbwb7S;LunchMoney Lewis;2015-02-05;https://i.scdn.co/image/ab67616d0000b27304ce014b55b3e6c812e22242;204600;https://p.scdn.co/mp3-preview/a69f4961e716cd15bc720346063505ae623bbf1c?cid=9950ac751e34487dbbe027c4fd7f8e99;miami hip hop
spotify:track:45ZGEdLxCZvdMX9jWlsAAx;I Don't Belong In This Club;Why Don't We, Macklemore;spotify:album:3CKzA951WnfvvOGresjno6;I Don't Belong In This Club;spotify:artist:2jnIB6XdLvnJUeNTy5A0J2, spotify:artist:3JhNCzhSMTxs9WLGJJxWOY;Why Don't We, Macklemore;2019-03-20;https://i.scdn.co/image/ab67616d0000b2732115c227a8f63a750381f1a9;222620;;boy band,dance pop,electropop,pop,post-teen pop,teen pop,pop rap,seattle hip hop
spotify:track:3O0e0LHTpza0rYVDbZfQ4r;Can We Pretend (feat. Cash Cash);P!nk, Cash Cash;spotify:album:1CXDHsSaA7UgUPvRm2AVRH;Can We Pretend (feat. Cash Cash);spotify:artist:1KCSPY1glIKqW2TotWuXOR, spotify:artist:1LOB7jTeEV14pHai6EXSzF;P!nk, Cash Cash;2019-04-11;https://i.scdn.co/image/ab67616d0000b2730ceb664ec63331d981817891;224360;https://p.scdn.co/mp3-preview/935029e75356fc7f2b51c739eaf3df217d43afc0?cid=9950ac751e34487dbbe027c4fd7f8e99;dance pop,pop,post-teen pop,dance pop,edm,electro house,electropop,electropowerpop,pop,pop dance,pop edm,tropical house
